date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:15:53	8119/8119	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:52%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/24.html	www.cnblogs.com/xinxianquan/archive/2019/05/24.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:54	15979/15979	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:53%20GMT	https://www.cnblogs.com/xinxianquan/p/10901176.html	www.cnblogs.com/xinxianquan/p/10901176.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:55	8172/8172	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:54%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/23.html	www.cnblogs.com/xinxianquan/archive/2019/05/23.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:57	12945/12945	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:55%20GMT	https://www.cnblogs.com/xinxianquan/p/10912318.html	www.cnblogs.com/xinxianquan/p/10912318.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:57	8165/8165	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:56%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/22.html	www.cnblogs.com/xinxianquan/archive/2019/05/22.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:58	12147/12147	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:57%20GMT	https://www.cnblogs.com/xinxianquan/p/10904476.html	www.cnblogs.com/xinxianquan/p/10904476.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:58	1430420/1430420	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:48%20GMT	https://www.cnblogs.com/xinxianquan/p/10938868.html	www.cnblogs.com/xinxianquan/p/10938868.html	(from https://www.cnblogs.com/xinxianquan/)
09:15:59	8012/8012	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:58%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/21.html	www.cnblogs.com/xinxianquan/archive/2019/05/21.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:00	14629/14629	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:15:59%20GMT	https://www.cnblogs.com/xinxianquan/p/10902909.html	www.cnblogs.com/xinxianquan/p/10902909.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:02	8102/8102	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:00%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/05/17.html	www.cnblogs.com/xinxianquan/archive/2019/05/17.html	(from https://www.cnblogs.com/xinxianquan/)
